t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.7000000000000001,0.002650580915344371,0.9999964872042357,1.0,0.9999889788219054,2.8560210581566095e-05,0.004694828967342917,-6.680784760177685e-08,0.017782350764659897,-4.713372513791692e-05,0.0,0.0005903475435529828,0.033686855499945524,-5.7632770740477854e-08,0.09211558997998738,-0.0005603760135985745,0.0,0.005156354330559367,0.061814254233508864,-6.156955368677723e-07,1.712090219380538,1.7208319329702655,1.7215612934019544,1.7128192956450563,0.33049876810192585,-0.00579020850067586,0.0,0.6066810982834493,-0.05057429455698087,0.0
0.72,0.003025095747943322,0.9999954243873898,1.0,0.9999873093397648,3.500252297342663e-05,0.0050378501598695455,-8.794512052280275e-08,0.019691568651362512,-5.956915316293915e-05,0.0,0.0007010045090351221,0.03491511623380004,-7.109476896116187e-08,0.0988463833697621,-0.0006867843409258651,0.0,0.005924201505841592,0.06099313743366461,-7.335364494518881e-07,1.7121054650313148,1.720731027977758,1.721569005515932,1.7129431040142042,0.3425538474009878,-0.006875733413585354,0.0,0.5986645566407618,-0.05810784975579413,0.0
0.74,0.003439157115658146,0.9999940860816797,1.0,0.9999854563944119,4.263067774098394e-05,0.005393067983228556,-1.1478556249943267e-07,0.021737802410430756,-7.476015996408336e-05,0.0,0.0008278261702498278,0.03612596769264422,-8.708004532659675e-08,0.10581661062246281,-0.0008364625388646501,0.0,0.0067737383322751255,0.060073886771074,-8.683096620857472e-07,1.712123135528718,1.7206186657013722,1.7215768168973815,1.7130808859664224,0.354438958281446,-0.008119868608257199,0.0,0.589689160072379,-0.06644331520827107,0.0
0.76,0.00389555298973076,0.9999924123046655,1.0,0.9999834080108213,5.161463714203646e-05,0.005760298514000685,-1.4861013887524749e-07,0.0239258054566876,-9.320495018928161e-05,0.0,0.0009724949891724199,0.03731747666419423,-1.0594263256948966e-07,0.11302268253868343,-0.0010127463871959978,0.0,0.007709824519541372,0.05905942405112358,-1.0215604096208315e-06,1.7121427631072679,1.720494791225032,1.7215853602505364,1.713232860643352,0.3661352135492449,-0.00953913082857618,0.0,0.5797836794509481,-0.07562848509998309,0.0
0.78,0.004397165666866754,0.999990332420318,1.0,0.9999811521512728,6.214167112986452e-05,0.0061393387746119564,-1.9093017111515372e-07,0.02626025568144321,-0.00011547181101851876,0.0,0.001136790149547939,0.03848776701875878,-1.2806778268204693e-07,0.12046063783951978,-0.001219311530902099,0.0,0.008737267156537042,0.05795253349505647,-1.1948632170179148e-06,1.7121638938950883,1.720359344062271,1.7215952552739502,1.7133992536314366,0.37762428785992913,-0.011150988192598148,0.0,0.5689755089037162,-0.08571065605768009,0.0
0.8,0.004946970185089037,0.99998776366813,1.0,0.9999786767672586,7.441731809124729e-05,0.0065299672898058055,-2.4351815290389916e-07,0.02874574812139887,-0.00014220609898566054,0.0,0.001322586215689103,0.03963501683571096,-1.5387243400227775e-07,0.1281261541200855,-0.001460192389394352,0.0,0.00986079172172478,0.056755849389233254,-1.3898098403476172e-06,1.7121860904804287,1.720212258978888,1.7216071053806037,1.7135802954314499,0.3888883889576036,-0.012973847424892219,0.0,0.5572905417802357,-0.09673634453306036,0.0
0.8200000000000001,0.005548032595121056,0.9999846095487287,1.0,0.9999759698523094,8.866632920608586e-05,0.0069319446131876645,-3.084410979283469e-07,0.031386787840700606,-0.00017413760205263508,0.0,0.0015318512059647657,0.040757455274190724,-1.8380542744168632e-07,0.13601455820243707,-0.0017398007534984296,0.0,0.011085012565902226,0.055471842866110926,-1.6079962596094874e-06,1.7122089345704843,1.7200534667853524,1.7216214943129402,1.7137762199459528,0.399910226348943,-0.015027035382595325,0.0,0.5447530382355249,-0.10875099899496399,0.0
0.84,0.006203508091439032,0.9999807580585536,1.0,0.9999730194953982,0.00010513359052196206,0.007345013821203584,-3.8809643623473335e-07,0.0341877830136069,-0.0002120882695433363,0.0,0.0017666440716975168,0.04185335917099135,-2.1834745398498684e-07,0.14412083583495328,-0.002062943955113427,0.0,0.012414402993614002,0.05410280784653859,-1.8510088353810824e-06,1.7122320297338516,1.7198828950944232,1.7216389826661522,1.713987262993811,0.4106729772476987,-0.01733077478348101,0.0,0.5313854847623549,-0.12179870813550887,0.0
0.86,0.006916639006871081,0.9999760797663355,1.0,0.9999698139345828,0.00012408501675661025,0.0077689009717464156,-4.852504545367706e-07,0.0371530381941432,-0.00025698030022621056,0.0,0.0020291115746671317,0.04292104934927204,-2.580107179797246e-07,0.152439640681996,-0.0024348424928660388,0.0,0.013853265064529136,0.05265084619099705,-2.1204097564639617e-06,1.712255004217023,1.719700469041106,1.7216601043340622,1.7142136608593226,0.4211602496330644,-0.019906154067955734,0.0,0.5172084461322596,-0.13592190624430583,0.0
0.88,0.007690752674337058,0.9999704257243321,1.0,0.9999663416105317,0.00014580841078523838,0.008203315524423844,-6.030792530988795e-07,0.04028674775796124,-0.00030984457648880215,0.0,0.0023214845587861237,0.04395888662285648,-3.033383034160599e-07,0.16096530254464853,-0.0028611469959458884,0.0,0.015405699230323098,0.051117852118771206,-2.4177219188637803e-06,1.7122775138249997,1.7195061119633346,1.7216853628923277,1.7144556488823375,0.4313560422757619,-0.0227750913493919,0.0,0.5022404103359203,-0.15116107684485486,0.0
0.9,0.008529259159015432,0.9999636252075365,1.0,0.9999625912195749,0.00017061428273674957,0.00864795071937512,-7.452121680459245e-07,0.0435929895004095,-0.000371829430183586,0.0,0.002646073613757079,0.04496526748211022,-3.549032333388106e-07,0.16969183475053282,-0.0033479544076108324,0.0,0.017075573915735064,0.049505495963379775,-2.744413389625726e-06,1.7122992448559562,1.7192997460429402,1.7217152279339538,1.7147134600946363,0.44124470159885926,-0.025960292428423064,0.0,0.4864976272488353,-0.16755445561935944,0.0
0.92,0.009435648863890946,0.9999554832743892,1.0,0.9999585517659229,0.00019883662261183308,0.00910248391139014,-9.157775833925747e-07,0.047075718373555335,-0.00044420972335065557,0.0,0.0030052641306238634,0.04593861944906107,-4.133072157119163e-07,0.17861294064820019,-0.003901823269563899,0.0,0.018866495145106837,0.047815207355833556,-3.101881620376295e-06,1.7123199170788188,1.7190812929086727,1.7217501313732404,1.7149873239057156,0.45081087525623964,-0.0294852028666139,0.0,0.46999394188629695,-0.1851377335733821,0.0
0.9400000000000001,0.01041349001127854,0.9999457781428877,1.0,0.9999542126126804,0.00023083362034512187,0.009566576855968706,-1.1194510319970907e-06,0.050738760343586604,-0.0005283962246471864,0.0,0.0034015107510744717,0.046877396091254055,-4.79179072453968e-07,0.18772201913943,-0.004529787988496693,0.0,0.020781776307643527,0.046048157937859935,-3.491437584450077e-06,1.7123392867424512,1.7188506742043947,1.7217904637345067,1.7152774648398321,0.4600394623303169,-0.03337395413314685,0.0,0.4527406232517219,-0.20394376131097589,0.0
0.96,0.011466426002534258,0.9999342583763836,1.0,0.999949563531287,0.000266988327261534,0.01003987594386245,-1.361505459298272e-06,0.05458580634866918,-0.0006259452599433634,0.0,0.003837331214128846,0.04778007168607638,-5.531728519447796e-07,0.19701216918101527,-0.0052393719665355405,0.0,0.02282440814568897,0.04420524371731571,-3.914290021672222e-06,1.7123571496051069,1.7186078121269102,1.7218365704420282,1.7155841013248307,0.4689155600720689,-0.03765130385473102,0.0,0.4347461899229721,-0.22400225520522554,0.0
0.98,0.012598172657751434,0.999920639873828,1.0,0.9999445947490108,0.0003077092529217556,0.010522012380569485,-1.6478634983776897e-06,0.05862040633595524,-0.0007385686131862395,0.0,0.004315299605443069,0.04864513552969027,-6.359656290268087e-07,0.20647619318631172,-0.006038599478081764,0.0,0.0249970290412912,0.04228706720196887,-4.371529979540101e-06,1.7123733439717799,1.7183526299402843,1.7218887481287175,1.7159074445309919,0.4774244071307672,-0.042342570213747335,0.0,0.4160162336612609,-0.24533950615963773,0.0
